Session_Name_	Trial_Index_	Trial_Recycled_	condition	text	question	expected_key	QUESTION_KEY_PRESSED	QUESTION_RT	QUESTION_ACCURACY	SENTENCE_RT	speechid	paragraphid	counterbalance	LAST_COUNTERBALANCE
P05	1	False	practice	"NY TALE BEGYNDER NU"	"NO QUESTION"	NA	.	-1	-1	4244	1327	-1	0	0
P05	2	False	practice	"Hej alle sammen!"	"NO QUESTION"	NA	.	-1	-1	1342	1327	0	0	0
P05	3	False	practice	"Som I allerede ved, vil vi om lidt tænde for et bål, der vil brænde et skab af – det skab, vi har følt os begrænset af, indelukket i, og som de fleste af os er brudt ud af for at kunne blive lykkeligere."	"NO QUESTION"	NA	.	-1	-1	6563	1327	1	0	0
P05	4	False	practice	"'Men skabe er da ganske praktiske til opbevaring af mangt og meget, ikke sandt?' Jo, opbevaring af værdier, det er rigtigt – men når vi først begynder at sætte spørgsmålstegn ved disse værdier, så føles skabet mere og mere trangt, for det kan ikke rumme vores ideer og følelser mere."	"NO QUESTION"	NA	.	-1	-1	7678	1327	2	0	0
P05	5	False	practice	"'Jamen hvad er der i det skab?' Der er en opfattelse af at kvinder og mænd skal tænke, føle, klæde sig og handle forskelligt – fordi nogle er kvinder og andre er mænd. Kønsroller kalder vi det. Men det rækker faktisk meget længere end bare til roller, vi spiller – rollerne invaderer vores tanker og vores følelser, så vi næsten ikke kan tænke uden for rollen, så længe skabet omslutter os, og i hvert fald først og fremmest føler vi må tage hensyn til dem, der er i skabet..."	"Spørgsmål:\nMener taleren at kønsroller både påvirker hvordan vi handler og tænker?"	1	1	5399	1	22612	1327	3	0	0
P05	6	False	practice	"Når vi endelig bryder ud af skabet og for alvor viser og siger det, der ikke passer i det normative skab, kan vi godt opleve negative reaktioner – men så sandelig også positive – for vi er jo slet ikke alene!"	"NO QUESTION"	NA	.	-1	-1	10632	1327	4	0	0
P05	7	False	practice	"Der er nemlig andre som ligner os mere eller mindre, vi er en broget og mangfoldig flok i alle aldre, hudfarver, kulturelle baggrunde, med og uden handicap, med og uden tro, af forskellig politisk overbevisning, og – vigtigst for os her: af flere forskellige kønsidentiteter og seksuelle orienteringer."	"NO QUESTION"	NA	.	-1	-1	11931	1327	5	0	0
P05	8	False	practice	"Fælles for os er, at vi er en regnbueminoritet i forhold til flertallets skab – men det betyder ikke at majoriteten har ret. Vi vil udefra informere om, at der er andre måder at se tingene på, tilbyde et alternativt syn på livet og verden, som kan hjælpe nogle – især børn og unge – ud af et skab, de mistrives i."	"Spørgsmål:\nMener taleren at minoriteter bør tie med deres verdenssyn?"	2	2	2764	1	16514	1327	6	0	0
P05	9	False	practice	"Lad os brænde skabet med normerne, så vi frigøres fra dem og får retten til at være dem, vi faktisk er!"	"NO QUESTION"	NA	.	-1	-1	4028	1327	7	0	0
P05	10	False	experiment	"NY TALE BEGYNDER NU"	"NO QUESTION"	NA	.	-1	-1	1269	7905	-1	5	5
P05	11	False	experiment	"I slutningen af juli 1852 spadserede en ung kvinde på stierne her ved Rønnebæksholm. Hun øvede sig på at holde tale. Det var snart to år siden, at den danske hær slog slesvig-holstenerne i danmarkshistoriens største slag ved Isted. Nu skulle de faldne mindes, og sejren fejres med en folkefest på kampdagen den 25. juli. Festkomiteen havde sikret sig flere af tidens berømtheder som hovedtalere, blandt andre et par af Grundlovens fædre: Digterpræsten Niels Frederik Severin Grundtvig og Carl Ploug, digter og redaktør af avisen Fædrelandet samt Peter Rørdam, en populær bondepræst i Mern."	"NO QUESTION"	NA	.	-1	-1	25642	7905	0	5	5
P05	12	False	experiment	"Da festdagen nærmede sig, rygtedes det, at Mathilde Fibiger også ville tale ved mødet. Det var en sensation! Aldrig før havde en kvinde talt ved et offentligt møde. Og så netop denne kvinde – bare 21 år, berømt og berygtet for at have skrevet romanen Clara Raphaels breve. Mathilde Fibiger var den første i Danmark, som i romanform agiterede for 'damernes emancipation', som hun kaldte det. Hun skrev i en tid, der var gennemsyret af det akademiske borgerskabs og bondestandens oprør mod enevælden, den glødende nationalisme i treårskrigen (1848-51) og Grundlovens indførelse af borgerlige frihedsrettigheder."	"Spørgsmål:\nVar Mathilde Fibiger forfatter som 21-årig?"	1	1	2415	1	25275	7905	1	5	5
P05	13	False	experiment	"Den unge forfatterinde berusede sig i liberalismens idé om det enkelte menneskets ret til at søge sin lykke gennem at udvikle sin personlighed og intellekt. Tankens frihed måtte også gælde kvinder, mente hun. Den idé kom til at koste hende dyrt."	"NO QUESTION"	NA	.	-1	-1	9521	7905	2	5	5
P05	14	False	experiment	"Mathilde Fibigers roman er bygget op som hovedpersonens 12 breve til en veninde. Romanens hovedperson, Clara, ligner sin forfatter til forveksling. Hun er privatlærerinde i provinsen og her bringer hun utålmodigt politik og litteratur på banen ved middagsbordet og ved sammenkomster i omgangskredsen. Men Clara finder ingen genklang – kun løftede øjenbryn og hovedrysten over sine interesser og snaksalighed."	"NO QUESTION"	NA	.	-1	-1	14060	7905	3	5	5
