,part,trialId,charId,l,b,r,t,char
0,2,31,1,190,136,215,208,N
0,2,31,2,215,136,230,208,å
0,2,31,3,230,136,252,208,r
0,2,31,4,252,136,275,208,v
0,2,31,5,275,136,297,208,i
0,2,31,6,297,136,320,208,g
0,2,31,7,320,136,335,208,ø
0,2,31,8,335,136,357,208,r
0,2,31,9,357,136,380,208,s
0,2,31,10,380,136,395,208,t
0,2,31,11,395,136,410,208,a
0,2,31,12,410,136,425,208,t
0,2,31,13,425,136,440,208,u
0,2,31,14,440,136,462,208,s
0,2,31,15,462,136,485,208,o
0,2,31,16,485,136,500,208,v
0,2,31,17,500,136,515,208,e
0,2,31,18,515,136,537,208,r
0,2,31,19,537,136,560,208,m
0,2,31,20,560,136,575,208,i
0,2,31,21,575,136,590,208,l
0,2,31,22,590,136,605,208,j
0,2,31,23,605,136,620,208,ø
0,2,31,24,620,136,635,208,t
0,2,31,25,635,136,650,208,i
0,2,31,26,650,136,665,208,l
0,2,31,27,665,136,680,208,s
0,2,31,28,680,136,695,208,t
0,2,31,29,695,136,710,208,a
0,2,31,30,710,136,725,208,n
0,2,31,31,725,136,740,208,d
0,2,31,32,740,136,755,208,e
0,2,31,33,755,136,770,208,n
0,2,31,34,770,136,792,208,","
0,2,31,35,792,136,815,208,s
0,2,31,36,815,136,830,208,e
0,2,31,37,830,136,852,208,r
0,2,31,38,852,136,875,208,d
0,2,31,39,875,136,890,208,e
0,2,31,40,890,136,912,208,t
0,2,31,41,912,136,935,208,h
0,2,31,42,935,136,950,208,e
0,2,31,43,950,136,965,208,l
0,2,31,44,965,136,980,208,d
0,2,31,45,980,136,995,208,i
0,2,31,46,995,136,1010,208,g
0,2,31,47,1010,136,1025,208,v
0,2,31,48,1025,136,1040,208,i
0,2,31,49,1040,136,1062,208,s
0,2,31,50,1062,136,1085,208,i
0,2,31,51,1085,136,1100,208,k
0,2,31,52,1100,136,1115,208,k
0,2,31,53,1115,136,1137,208,e
0,2,31,54,1137,136,1160,208,h
0,2,31,55,1160,136,1175,208,e
0,2,31,56,1175,136,1190,208,l
0,2,31,57,1190,136,1212,208,t
0,2,31,58,1212,136,1235,208,s
0,2,31,59,1235,136,1250,208,o
0,2,31,60,1250,136,1265,208,r
0,2,31,61,1265,136,1287,208,t
0,2,31,62,1287,136,1310,208,u
0,2,31,63,1310,136,1332,208,d
0,2,31,64,1332,136,1355,208,a
0,2,31,65,1355,136,1370,208,l
0,2,31,66,1370,136,1392,208,t
0,2,31,67,1392,136,1415,208,s
0,2,31,68,1415,136,1430,208,a
0,2,31,69,1430,136,1445,208,m
0,2,31,70,1445,136,1460,208,m
0,2,31,71,1460,136,1475,208,e
0,2,31,72,1475,136,1490,208,n
0,2,31,73,1490,136,1512,208,.
0,2,31,74,1512,136,1535,208,D
0,2,31,75,1535,136,1550,208,e
0,2,31,76,1550,136,1572,208,r
0,2,31,77,1572,136,1595,208,e
0,2,31,78,1595,136,1617,208,r
0,2,31,79,1617,136,1640,208,s
0,2,31,80,1640,136,1655,208,k
0,2,31,81,1655,136,1670,208,e
0,2,31,82,1670,136,1695,208,t
0,2,31,83,190,208,215,307,f
0,2,31,84,215,208,230,307,o
0,2,31,85,230,208,245,307,r
0,2,31,86,245,208,260,307,b
0,2,31,87,260,208,275,307,e
0,2,31,88,275,208,290,307,d
0,2,31,89,290,208,305,307,r
0,2,31,90,305,208,320,307,i
0,2,31,91,320,208,335,307,n
0,2,31,92,335,208,350,307,g
0,2,31,93,350,208,365,307,e
0,2,31,94,365,208,380,307,r
0,2,31,95,380,208,402,307,.
0,2,31,96,402,208,425,307,U
0,2,31,97,425,208,440,307,d
0,2,31,98,440,208,455,307,l
0,2,31,99,455,208,470,307,e
0,2,31,100,470,208,485,307,d
0,2,31,101,485,208,500,307,n
0,2,31,102,500,208,515,307,i
0,2,31,103,515,208,530,307,n
0,2,31,104,530,208,552,307,g
0,2,31,105,552,208,575,307,a
0,2,31,106,575,208,597,307,f
0,2,31,107,597,208,620,307,n
0,2,31,108,620,208,635,307,æ
0,2,31,109,635,208,650,307,r
0,2,31,110,650,208,665,307,i
0,2,31,111,665,208,680,307,n
0,2,31,112,680,208,695,307,g
0,2,31,113,695,208,710,307,s
0,2,31,114,710,208,725,307,s
0,2,31,115,725,208,740,307,t
0,2,31,116,740,208,755,307,o
0,2,31,117,755,208,770,307,f
0,2,31,118,770,208,785,307,f
0,2,31,119,785,208,800,307,e
0,2,31,120,800,208,822,307,r
0,2,31,121,822,208,845,307,e
0,2,31,122,845,208,867,307,r
0,2,31,123,867,208,890,307,b
0,2,31,124,890,208,905,307,l
0,2,31,125,905,208,920,307,e
0,2,31,126,920,208,935,307,v
0,2,31,127,935,208,950,307,e
0,2,31,128,950,208,972,307,t
0,2,31,129,972,208,995,307,v
0,2,31,130,995,208,1010,307,æ
0,2,31,131,1010,208,1025,307,s
0,2,31,132,1025,208,1040,307,e
0,2,31,133,1040,208,1055,307,n
0,2,31,134,1055,208,1070,307,t
0,2,31,135,1070,208,1085,307,l
0,2,31,136,1085,208,1100,307,i
0,2,31,137,1100,208,1115,307,g
0,2,31,138,1115,208,1137,307,t
0,2,31,139,1137,208,1160,307,r
0,2,31,140,1160,208,1175,307,e
0,2,31,141,1175,208,1190,307,d
0,2,31,142,1190,208,1205,307,u
0,2,31,143,1205,208,1220,307,c
0,2,31,144,1220,208,1235,307,e
0,2,31,145,1235,208,1250,307,r
0,2,31,146,1250,208,1265,307,e
0,2,31,147,1265,208,1280,307,t
0,2,31,148,1280,208,1302,307,.
0,2,31,149,1302,208,1332,307,I
0,2,31,150,1332,208,1355,307,d
0,2,31,151,1355,208,1377,307,e
0,2,31,152,1377,208,1400,307,s
0,2,31,153,1400,208,1415,307,i
0,2,31,154,1415,208,1430,307,d
0,2,31,155,1430,208,1445,307,s
0,2,31,156,1445,208,1460,307,t
0,2,31,157,1460,208,1482,307,e
0,2,31,158,1482,208,1505,307,p
0,2,31,159,1505,208,1520,307,a
0,2,31,160,1520,208,1542,307,r
0,2,31,161,1542,208,1565,307,å
0,2,31,162,1565,208,1587,307,r
0,2,31,163,1587,208,1610,307,h
0,2,31,164,1610,208,1625,307,a
0,2,31,165,1625,208,1647,307,r
0,2,31,166,1647,208,1670,307,v
0,2,31,167,1670,208,1695,307,i
0,2,31,168,190,307,215,406,h
0,2,31,169,215,307,230,406,a
0,2,31,170,230,307,245,406,f
0,2,31,171,245,307,267,406,t
0,2,31,172,267,307,290,406,f
0,2,31,173,290,307,305,406,æ
0,2,31,174,305,307,320,406,r
0,2,31,175,320,307,335,406,r
0,2,31,176,335,307,357,406,e
0,2,31,177,357,307,380,406,o
0,2,31,178,380,307,395,406,m
0,2,31,179,395,307,410,406,r
0,2,31,180,410,307,425,406,å
0,2,31,181,425,307,440,406,d
0,2,31,182,440,307,455,406,e
0,2,31,183,455,307,477,406,r
0,2,31,184,477,307,500,406,m
0,2,31,185,500,307,515,406,e
0,2,31,186,515,307,537,406,d
0,2,31,187,537,307,560,406,i
0,2,31,188,560,307,575,406,l
0,2,31,189,575,307,590,406,t
