"RECORDING_SESSION_LABEL"	"TRIAL_INDEX"	"CURRENT_FIX_DURATION"	"CURRENT_FIX_INDEX"	"CURRENT_FIX_INTEREST_AREAS"	"CURRENT_FIX_INTEREST_AREA_DATA"	"CURRENT_FIX_INTEREST_AREA_DWELL_TIME"	"CURRENT_FIX_INTEREST_AREA_FIX_COUNT"	"CURRENT_FIX_INTEREST_AREA_ID"	"CURRENT_FIX_INTEREST_AREA_INDEX"	"CURRENT_FIX_INTEREST_AREA_LABEL"	"CURRENT_FIX_INTEREST_AREA_RUN_ID"	"CURRENT_FIX_LABEL"	"CURRENT_FIX_NEAREST_INTEREST_AREA"	"CURRENT_FIX_NEAREST_INTEREST_AREA_LABEL"	"CURRENT_FIX_NEAREST_INTEREST_AREA_DISTANCE"	"CURRENT_FIX_REFIX_INTEREST_AREA"	"CURRENT_FIX_REFIX_PREV_INTEREST_AREA"	"CURRENT_FIX_RUN_INDEX"	"CURRENT_FIX_RUN_SIZE"	"EYE_USED"	"NEXT_FIX_INTEREST_AREAS"	"NEXT_FIX_INTEREST_AREA_DATA"	"NEXT_FIX_INTEREST_AREA_ID"	"NEXT_FIX_INTEREST_AREA_LABEL"	"NEXT_FIX_INTEREST_AREA_RUN_ID"	"NEXT_FIX_INTEREST_AREA_INDEX"	"NEXT_SAC_DIRECTION"	"NEXT_SAC_END_INTEREST_AREAS"	"NEXT_SAC_END_INTEREST_AREA_ID"	"NEXT_SAC_END_INTEREST_AREA_LABEL"	"NEXT_SAC_END_INTEREST_AREA_INDEX"	"NEXT_SAC_DURATION"	"NEXT_SAC_PEAK_VELOCITY"	"NEXT_SAC_AMPLITUDE"	"PREVIOUS_FIX_INTEREST_AREA_ID"	"TRIAL_FIXATION_TOTAL"	"Session_Name_"	"Trial_Index_"	"paragraphid"	"speechid"
"P05"	1	235	1	[ ]	.	.	.	.	.	.	.	Fixation: 7 ms	16	"U"	12,59	.	.	.	.	"RIGHT"	[ ]	.	.	.	.	.	LEFT	[ ]	.	.	.	59	611,63	14,89	.	11	P05	1	-1	1327
"P05"	1	168	2	[ ]	.	.	.	.	.	.	.	Fixation: 301 ms	9	"G"	0,76	.	.	.	.	"RIGHT"	[ ]	.	.	.	.	.	LEFT	[ ]	.	.	.	34	229,54	1,40	.	11	P05	1	-1	1327
"P05"	1	299	3	[ ]	.	.	.	.	.	.	.	Fixation: 503 ms	4	"A"	0,62	.	.	.	.	"RIGHT"	[ ]	.	.	.	.	.	RIGHT	[ ]	.	.	.	35	304,80	3,02	.	11	P05	1	-1	1327
"P05"	1	595	4	[ ]	.	.	.	.	.	.	.	Fixation: 837 ms	13	"E"	0,65	.	.	.	.	"RIGHT"	[ ]	.	.	.	.	.	RIGHT	[ ]	.	.	.	18	77,88	0,91	.	11	P05	1	-1	1327
"P05"	1	664	5	[ ]	.	.	.	.	.	.	.	Fixation: 1450 ms	15	"N"	0,58	.	.	.	.	"RIGHT"	[ ]	.	.	.	.	.	LEFT	[ ]	.	.	.	24	162,75	1,35	.	11	P05	1	-1	1327
"P05"	1	275	6	[ ]	.	.	.	.	.	.	.	Fixation: 2138 ms	11	"N"	0,69	.	.	.	.	"RIGHT"	[ ]	.	.	.	.	.	LEFT	[ ]	.	.	.	28	123,28	0,84	.	11	P05	1	-1	1327
"P05"	1	482	7	[ ]	.	.	.	.	.	.	.	Fixation: 2441 ms	9	"G"	0,65	.	.	.	.	"RIGHT"	[ ]	.	.	.	.	.	RIGHT	[ ]	.	.	.	32	238,51	2,33	.	11	P05	1	-1	1327
"P05"	1	240	8	[ ]	.	.	.	.	.	.	.	Fixation: 2955 ms	16	"U"	0,58	.	.	.	.	"RIGHT"	[ ]	.	.	.	.	.	LEFT	[ ]	.	.	.	42	259,67	2,55	.	11	P05	1	-1	1327
"P05"	1	757	9	[ ]	.	.	.	.	.	.	.	Fixation: 3237 ms	7	"B"	0,61	.	.	.	.	"RIGHT"	[ 15]	[STATIC, RECTANGLE, 447.0, 138.0, 470.0, 176.0]	15	"N"	1	15	RIGHT	[ ]	.	.	.	38	241,53	2,48	.	11	P05	1	-1	1327
"P05"	1	261	10	[ 15]	[STATIC, RECTANGLE, 447.0, 138.0, 470.0, 176.0]	261	1	15	15	"N"	1	Fixation: 4032 ms	15	"N"	0,28	0	0	1	1	"RIGHT"	[ 16]	[STATIC, RECTANGLE, 470.0, 138.0, 495.0, 176.0]	16	"U"	1	16	RIGHT	[ 16]	16	U	16	29	80,64	0,50	.	11	P05	1	-1	1327
"P05"	1	33	11	[ 16]	[STATIC, RECTANGLE, 470.0, 138.0, 495.0, 176.0]	33	1	16	16	"U"	1	Fixation: 4322 ms	16	"U"	0,33	0	0	1	1	"RIGHT"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	15	11	P05	1	-1	1327
"P05"	2	181	1	[ ]	.	.	.	.	.	.	.	Fixation: 7 ms	14	"!"	13,74	.	.	.	.	"RIGHT"	[ 13]	[STATIC, RECTANGLE, 410.0, 137.0, 425.0, 181.0]	13	"n"	1	13	LEFT	[ 14]	14	!	14	45	566,47	13,95	.	5	P05	2	0	1327
"P05"	2	115	2	[ 13]	[STATIC, RECTANGLE, 410.0, 137.0, 425.0, 181.0]	115	1	13	13	"n"	1	Fixation: 233 ms	13	"n"	0,11	0	0	1	1	"RIGHT"	[ ]	.	.	.	.	.	LEFT	[ ]	.	.	.	35	257,59	2,33	.	5	P05	2	0	1327
"P05"	2	159	3	[ ]	.	.	.	.	.	.	.	Fixation: 383 ms	5	"l"	0,75	.	.	.	.	"RIGHT"	[ 4]	[STATIC, RECTANGLE, 252.0, 137.0, 275.0, 181.0]	4	"a"	1	4	.	[ 4]	4	a	4	25	77,50	0,40	13	5	P05	2	0	1327
"P05"	2	258	4	[ 4]	[STATIC, RECTANGLE, 252.0, 137.0, 275.0, 181.0]	258	1	4	4	"a"	1	Fixation: 567 ms	4	"a"	0,43	0	1	1	1	"RIGHT"	[ 10]	[STATIC, RECTANGLE, 365.0, 137.0, 380.0, 181.0]	10	"m"	1	10	RIGHT	[ ]	.	.	.	32	221,04	1,88	.	5	P05	2	0	1327
"P05"	2	590	5	[ 10]	[STATIC, RECTANGLE, 365.0, 137.0, 380.0, 181.0]	590	1	10	10	"m"	1	Fixation: 857 ms	10	"m"	0,40	0	1	1	1	"RIGHT"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	4	5	P05	2	0	1327
"P05"	3	189	1	[ 88]	[STATIC, RECTANGLE, 395.0, 204.0, 410.0, 297.0]	189	1	88	88	"n"	1	Fixation: 9 ms	88	"n"	0,19	0	0	1	1	"RIGHT"	[ ]	.	.	.	.	.	UP	[ ]	.	.	.	31	194,27	2,51	.	32	P05	3	1	1327
"P05"	3	108	2	[ ]	.	.	.	.	.	.	.	Fixation: 229 ms	12	"e"	0,94	.	.	.	.	"RIGHT"	[ ]	.	.	.	.	.	LEFT	[ ]	.	.	.	36	247,93	2,07	88	32	P05	3	1	1327
"P05"	3	189	3	[ ]	.	.	.	.	.	.	.	Fixation: 373 ms	4	"I"	0,98	.	.	.	.	"RIGHT"	[ ]	.	.	.	.	.	RIGHT	[ ]	.	.	.	37	361,28	4,01	.	32	P05	3	1	1327
"P05"	3	112	4	[ ]	.	.	.	.	.	.	.	Fixation: 599 ms	17	"v"	0,94	.	.	.	.	"RIGHT"	[ ]	.	.	.	.	.	RIGHT	[ ]	.	.	.	36	333,99	3,58	.	32	P05	3	1	1327
"P05"	3	196	5	[ ]	.	.	.	.	.	.	.	Fixation: 747 ms	26	"d"	0,91	.	.	.	.	"RIGHT"	[ 35]	[STATIC, RECTANGLE, 845.0, 135.0, 867.0, 204.0]	35	"r"	1	35	RIGHT	[ ]	.	.	.	33	293,58	3,36	.	32	P05	3	1	1327
"P05"	3	160	6	[ 35]	[STATIC, RECTANGLE, 845.0, 135.0, 867.0, 204.0]	160	1	35	35	"r"	1	Fixation: 976 ms	35	"r"	0,55	0	1	1	1	"RIGHT"	[ ]	.	.	.	.	.	LEFT	[ ]	.	.	.	47	352,35	5,48	.	32	P05	3	1	1327
"P05"	3	153	7	[ ]	.	.	.	.	.	.	.	Fixation: 1183 ms	21	"i"	0,76	.	.	.	.	"RIGHT"	[ ]	.	.	.	.	.	RIGHT	[ ]	.	.	.	34	283,31	2,78	35	32	P05	3	1	1327
"P05"	3	140	8	[ ]	.	.	.	.	.	.	.	Fixation: 1370 ms	28	"t"	1,01	.	.	.	.	"RIGHT"	[ 36]	[STATIC, RECTANGLE, 867.0, 135.0, 890.0, 204.0]	36	"e"	1	36	RIGHT	[ ]	.	.	.	34	294,11	2,87	.	32	P05	3	1	1327
"P05"	3	111	9	[ 36]	[STATIC, RECTANGLE, 867.0, 135.0, 890.0, 204.0]	111	1	36	36	"e"	1	Fixation: 1544 ms	36	"e"	0,71	0	1	1	1	"RIGHT"	[ ]	.	.	.	.	.	LEFT	[ ]	.	.	.	45	362,53	4,67	.	32	P05	3	1	1327
"P05"	3	342	10	[ ]	.	.	.	.	.	.	.	Fixation: 1700 ms	24	"l"	0,83	.	.	.	.	"RIGHT"	[ ]	.	.	.	.	.	RIGHT	[ ]	.	.	.	36	397,64	4,16	36	32	P05	3	1	1327
"P05"	3	211	11	[ ]	.	.	.	.	.	.	.	Fixation: 2078 ms	35	"r"	0,83	.	.	.	.	"RIGHT"	[ 45]	[STATIC, RECTANGLE, 1025.0, 135.0, 1047.0, 204.0]	45	"r"	1	45	RIGHT	[ 44]	44	e	44	38	303,18	3,46	.	32	P05	3	1	1327
"P05"	3	145	12	[ 45]	[STATIC, RECTANGLE, 1025.0, 135.0, 1047.0, 204.0]	145	1	45	45	"r"	1	Fixation: 2327 ms	45	"r"	0,50	0	1	1	1	"RIGHT"	[ 51]	[STATIC, RECTANGLE, 1145.0, 135.0, 1160.0, 204.0]	51	"æ"	1	51	RIGHT	[ 51]	51	æ	51	43	271,92	2,58	.	32	P05	3	1	1327
"P05"	3	168	13	[ 51]	[STATIC, RECTANGLE, 1145.0, 135.0, 1160.0, 204.0]	168	1	51	51	"æ"	1	Fixation: 2515 ms	51	"æ"	0,41	0	1	1	1	"RIGHT"	[ 60]	[STATIC, RECTANGLE, 1310.0, 135.0, 1332.0, 204.0]	60	"b"	1	60	RIGHT	[ 59]	59	a	59	35	291,23	2,98	45	32	P05	3	1	1327
"P05"	3	124	14	[ 60]	[STATIC, RECTANGLE, 1310.0, 135.0, 1332.0, 204.0]	124	1	60	60	"b"	1	Fixation: 2718 ms	60	"b"	0,26	0	1	1	1	"RIGHT"	[ 49]	[STATIC, RECTANGLE, 1107.0, 135.0, 1130.0, 204.0]	49	"b"	1	49	LEFT	[ 49]	49	b	49	32	324,86	3,81	51	32	P05	3	1	1327
"P05"	3	189	15	[ 49]	[STATIC, RECTANGLE, 1107.0, 135.0, 1130.0, 204.0]	189	1	49	49	"b"	1	Fixation: 2874 ms	49	"b"	0,17	0	1	1	1	"RIGHT"	[ 47]	[STATIC, RECTANGLE, 1070.0, 135.0, 1085.0, 204.0]	47	"i"	1	47	LEFT	[ 47]	47	i	47	40	72,36	0,61	60	32	P05	3	1	1327
"P05"	3	119	16	[ 47]	[STATIC, RECTANGLE, 1070.0, 135.0, 1085.0, 204.0]	119	1	47	47	"i"	1	Fixation: 3103 ms	47	"i"	0,36	0	1	1	1	"RIGHT"	[ 57]	[STATIC, RECTANGLE, 1257.0, 135.0, 1280.0, 204.0]	57	"s"	1	57	RIGHT	[ 57]	57	s	57	40	302,09	3,87	49	32	P05	3	1	1327
