"RECORDING_SESSION_LABEL"	"TRIAL_INDEX"	"CURRENT_FIX_DURATION"	"CURRENT_FIX_INDEX"	"CURRENT_FIX_INTEREST_AREAS"	"CURRENT_FIX_INTEREST_AREA_DATA"	"CURRENT_FIX_INTEREST_AREA_DWELL_TIME"	"CURRENT_FIX_INTEREST_AREA_FIX_COUNT"	"CURRENT_FIX_INTEREST_AREA_ID"	"CURRENT_FIX_INTEREST_AREA_INDEX"	"CURRENT_FIX_INTEREST_AREA_LABEL"	"CURRENT_FIX_INTEREST_AREA_RUN_ID"	"CURRENT_FIX_LABEL"	"CURRENT_FIX_NEAREST_INTEREST_AREA"	"CURRENT_FIX_NEAREST_INTEREST_AREA_LABEL"	"CURRENT_FIX_NEAREST_INTEREST_AREA_DISTANCE"	"CURRENT_FIX_REFIX_INTEREST_AREA"	"CURRENT_FIX_REFIX_PREV_INTEREST_AREA"	"CURRENT_FIX_RUN_INDEX"	"CURRENT_FIX_RUN_SIZE"	"EYE_USED"	"NEXT_FIX_INTEREST_AREAS"	"NEXT_FIX_INTEREST_AREA_DATA"	"NEXT_FIX_INTEREST_AREA_ID"	"NEXT_FIX_INTEREST_AREA_LABEL"	"NEXT_FIX_INTEREST_AREA_RUN_ID"	"NEXT_FIX_INTEREST_AREA_INDEX"	"NEXT_SAC_DIRECTION"	"NEXT_SAC_END_INTEREST_AREAS"	"NEXT_SAC_END_INTEREST_AREA_ID"	"NEXT_SAC_END_INTEREST_AREA_LABEL"	"NEXT_SAC_END_INTEREST_AREA_INDEX"	"NEXT_SAC_DURATION"	"NEXT_SAC_PEAK_VELOCITY"	"NEXT_SAC_AMPLITUDE"	"PREVIOUS_FIX_INTEREST_AREA_ID"	"TRIAL_FIXATION_TOTAL"	"Session_Name_"	"Trial_Index_"	"paragraphid"	"speechid"
"P28"	1	190	1	[ ]	.	.	.	.	.	.	.	Fixation: 7 ms	16	"U"	12,23	.	.	.	.	"RIGHT"	[ ]	.	.	.	.	.	LEFT	[ ]	.	.	.	61	336,93	11,83	.	13	P28	1	-1	1327
"P28"	1	52	2	[ ]	.	.	.	.	.	.	.	Fixation: 258 ms	13	"E"	3,87	.	.	.	.	"RIGHT"	[ ]	.	.	.	.	.	UP	[ ]	.	.	.	40	253,07	2,97	.	13	P28	1	-1	1327
"P28"	1	115	3	[ ]	.	.	.	.	.	.	.	Fixation: 350 ms	6	"E"	1,30	.	.	.	.	"RIGHT"	[ ]	.	.	.	.	.	LEFT	[ ]	.	.	.	22	145,78	1,83	.	13	P28	1	-1	1327
"P28"	1	209	4	[ ]	.	.	.	.	.	.	.	Fixation: 487 ms	2	"Y"	0,82	.	.	.	.	"RIGHT"	[ ]	.	.	.	.	.	RIGHT	[ ]	.	.	.	26	225,99	3,20	.	13	P28	1	-1	1327
"P28"	1	349	5	[ ]	.	.	.	.	.	.	.	Fixation: 722 ms	10	"Y"	0,78	.	.	.	.	"RIGHT"	[ ]	.	.	.	.	.	RIGHT	[ ]	.	.	.	22	127,55	1,52	.	13	P28	1	-1	1327
"P28"	1	147	6	[ ]	.	.	.	.	.	.	.	Fixation: 1093 ms	14	"R"	0,93	.	.	.	.	"RIGHT"	[ ]	.	.	.	.	.	LEFT	[ ]	.	.	.	45	254,16	4,13	.	13	P28	1	-1	1327
"P28"	1	234	7	[ ]	.	.	.	.	.	.	.	Fixation: 1285 ms	2	"Y"	0,41	.	.	.	.	"RIGHT"	[ ]	.	.	.	.	.	.	[ ]	.	.	.	17	57,52	0,42	.	13	P28	1	-1	1327
"P28"	1	274	8	[ ]	.	.	.	.	.	.	.	Fixation: 1536 ms	1	"N"	0,61	.	.	.	.	"RIGHT"	[ ]	.	.	.	.	.	RIGHT	[ ]	.	.	.	28	278,53	4,17	.	13	P28	1	-1	1327
"P28"	1	181	9	[ ]	.	.	.	.	.	.	.	Fixation: 1838 ms	11	"N"	0,87	.	.	.	.	"RIGHT"	[ ]	.	.	.	.	.	LEFT	[ ]	.	.	.	22	150,15	1,99	.	13	P28	1	-1	1327
"P28"	1	245	10	[ ]	.	.	.	.	.	.	.	Fixation: 2041 ms	6	"E"	0,56	.	.	.	.	"RIGHT"	[ ]	.	.	.	.	.	LEFT	[ ]	.	.	.	21	113,23	1,39	.	13	P28	1	-1	1327
"P28"	1	245	11	[ ]	.	.	.	.	.	.	.	Fixation: 2307 ms	3	"T"	0,63	.	.	.	.	"RIGHT"	[ ]	.	.	.	.	.	LEFT	[ ]	.	.	.	28	108,97	0,79	.	13	P28	1	-1	1327
"P28"	1	173	12	[ ]	.	.	.	.	.	.	.	Fixation: 2580 ms	1	"N"	0,67	.	.	.	.	"RIGHT"	[ ]	.	.	.	.	.	RIGHT	[ ]	.	.	.	29	326,05	5,17	.	13	P28	1	-1	1327
"P28"	1	161	13	[ ]	.	.	.	.	.	.	.	Fixation: 2782 ms	14	"R"	0,82	.	.	.	.	"RIGHT"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	13	P28	1	-1	1327
